Position;Player Name;Alliance;Points
1;AIamet;;2,385,067
2;KULAKSIZ TAVŞAN;;2,302,203
3;Alpha;;1,425,468
4;Legend of Arabs;;1,271,540
5;Jason-6243;;1,232,601
6;-FORZA-;CRZY;1,128,951
7;Italy Bank;CRZY;853,815
8;orgeneral35;Org;764,336
9;Tierra Santa;LGS1;648,720
10;Givati;LGS1;521,503
11;GENERAL;HKMDR;479,180
12;-KALLITHEA-;H3LL;462,199
13;orfeo;H3LL;252,837
14;Chaos;-Z-;207,692
15;Kawaki-IX79;-Z-;200,195
16;CUBI892;-Z-;180,353
17;Ragnar Lodbrok;-Z-;152,841
18;Om Lotfi;R-F;152,050
19;TheBit;One;148,382
20;Dream Factory;TRP;139,242
21;ST Grun Katsie;TRP;125,636
22;Ciccio;VIPP;115,078
23;Capitan J;VIPP;108,582
24;--RiCkY--;VIPP;105,193
25;EnMovimiento;1234;97,947
26;Merk;1234;92,307
27;OLYMPIAKOS -7-;HΕLL;88,198
28;RewenGe;CRZY;85,708
29;Bartolomeo;IDF;85,695
30;Aquarius;VIPP;77,387
31;370k;VIPP;71,651
32;kanenas;HΕLL;69,235
33;Nezhah;HΕLL;63,314
34;nadirache;HΕLL;54,530
35;maIvasio;-TMP-;54,291
36;Duy;ROHAN;53,442
37;TaKeShiKoVacS;ROHAN;52,924
38;GREEK PUNISHER;HΕLL;52,824
39;Anti;-Z-;50,761
40;polemarxos78;HΕLL;48,571
41;Surt;-Z-;47,379
42;stay with me;ROHAN;46,965
43;ZEUUS;HΕLL;45,745
44;GRIFIN;CRZY;45,651
45;dooomTCDISPO;FBG;44,141
46;NoName;LIONS;42,340
47;THOR;LIONS;41,773
48;Rancho-dono;GoCry;40,340
49;The UGA UGA;-Z-;40,191
50;LeGwer;FBG;39,356
51;3D1H40B3K;RATS;39,035
52;Warlord Xenos;RATS;37,602
53;Davide 102;ROHAN;37,242
54;Crux;ROHAN;35,806
55;Sharoumanos;HΕLL;34,823
56;FakeTaxiDriver;HdB;34,255
57;Krinof;HΕLL;34,014
58;cybertronloco22;CRZY;33,823
59;Corleone;-M-;33,647
60;Cinders;-KG-;32,694
61;kaptanihtiyar;CRZY;31,634
62;Natan;H3LL;31,508
63;Optimus Vasil;HFH;31,409
64;Magneus Calagar;HFH;31,138
65;V I R U S;HFH;30,967
66;Chielo;Art;30,404
67;Burak yaman;ROHAN;30,017
68;Burrow;ROHAN;29,854
69;Commander;SOWRD;28,969
70;Abaddon;ZELA;28,843
71;Chivakike;VY-;28,782
72;MrLawyer;-KG-;28,742
73;Mr Wolf;LHS;28,545
74;VIRGO;LHS;28,258
75;WitcheR;ZELA;27,394
76;Micellium;ZELA;27,097
77;AKSOY;ROHAN;26,958
78;Hyla Arborea;-12-;26,942
79;Rudeus;-12-;26,535
80;Junior;-12-;26,253
81;Gole;WOLF;26,102
82;vllakaa;RUS;24,997
83;pindik mdejdara;WOLF;24,504
84;Blackfyre;ROHAN;23,708
85;Dende;ROHAN;23,625
86;TuRGoN;LIONS;23,511
87;-ESTRANEO-;LIONS;23,500
88;Bash;RUS;23,297
89;Alone;RUS;22,879
90;Georgia;CRZY;22,873
91;ViRuS7;H3LL;22,833
92;Mr Han;ROHAN;22,588
93;Bedovyj;RPG;22,587
94;σειριος;-KG-;22,529
95;OrionΩ;-KG-;22,444
96;CrisRonaldo PZ8;Art;22,412
97;Lydeka7;CRZY;22,336
98;Laynas;-KG-;22,328
99;Matis;-KG-;22,164
100;Tydeus27 PZ8;Art;21,861
101;Julius Caesar;BoB;21,842
102;themanwithfire;LIONS;21,837
103;Illenium;-TMP-;21,548
104;Termuguş;-UNI-;21,413
105;Randomizer;HΕLL;21,248
106;BILL74;HΕLL;21,215
107;Namor;HΕLL;21,106
108;Fenrir;-Z-;20,970
109;TheForeigner;-Z-;20,739
110;LoboBlanco;WOLF;20,681
111;Mr Prince;HFH;20,588
112;NudeBOSS;CRZY;20,558
113;el_jefe;-TMP-;20,502
114;Kastike is back;PUTU;20,432
115;Eventual;ZELA;20,229
116;fabio2011;WAR;20,164
117;Vlad IV;HdB;20,093
118;Dark Knight;WOLF;20,091
119;samson438;-Z-;20,054
120;Don Quetzali;WOLF;20,046
121;LORDMAXIMUS PZ8;Art;20,009
122;Pelasgos-1975;-KG-;19,754
123;kaminia7;HΕLL;19,503
124;Tardeli;HΕLL;19,460
125;The Jackal;GoCry;19,454
126;Hustla;GoCry;19,379
127;Ronin;HΕLL;19,327
128;Hermes-X;RING;19,289
129;chalks;HUN;19,267
130;tj0955908180;HUN;19,203
131;Kyrie Eleison;LIONS;19,193
132;Dubai Turath;LIONS;19,109
133;Big D Pablo;-Z-;18,918
134;Emrecan_ARDIÇ;CRZY;18,869
135;Paulos;HΕLL;18,813
136;Karlos;-BRT-;18,729
137;Sultan;-BRT-;18,726
138;BeYaZ;ZELA;18,673
139;ARES;WOLF;18,631
140;rootedkernel;BoB;18,493
141;wolverine;-Z-;18,384
142;Kopar;LIONS;18,383
143;Ogokuru;-Z-;18,292
144;Hůča;WOLF;18,177
145;Skraeling;-Z-;17,981
146;spartan-Z;CRZY;17,974
147;Olórin;CRZY;17,835
148;Fakka;-12-;17,833
149;Doktor Bu Ne;BoB;17,702
150;Peasant;Ble;17,569
151;bertolazy;;17,549
152;Swieber;CRZY;17,543
153;Quake;-Z-;17,466
154;Lord Velaryon;-Z-;17,459
155;-Storm-;H3LL;17,415
156;Zerks;-Z-;17,374
157;Covax;-Z-;17,328
158;Plamen 65;RUS;17,325
159;deathpikachu;-12-;17,270
160;Lightsider;HΕLL;17,163
161;Fireman007;LIONS;17,125
162;Mute;-TMP-;17,118
163;SKRULL;Art;17,087
164;BlackDranzer;WOLF;17,058
165;DELTA FORCH 1;CRZY;17,034
166;Acid;HdB;17,002
167;Masterboss;ZELA;16,789
168;Spiteful Mr J;BoB;16,775
169;Regalya;HKMDR;16,768
170;Rudy;LIONS;16,731
171;Baltaz;WOLF;16,646
172;tienheo951;PAVN;16,543
173;Rokasmdls;RATS;16,507
174;Bajza;-BRT-;16,419
175;Peleus-1401;-BRT-;16,418
176;RAGNARLOTBROK;CRZY;16,379
177;Alex Herakles;-TMP-;16,306
178;Stavros;HΕLL;16,216
179;Stranger;HΕLL;16,148
180;blook;BLOOK;16,122
181;Destroyer;-Z-;16,084
182;KOCA KURT;CRZY;16,079
183;The ShaDoW;-SL-;15,992
184;Setesh;CRZY;15,990
185;TOTO1333;-BG-;15,962
186;Viticoltore;-BG-;15,873
187;N1kTakN1k;RUS;15,812
188;Captain-Crazy;HdB;15,809
189;_BUG_;-SL-;15,473
190;Chingy22;GLAD;15,440
191;Jason-7401;GLAD;15,427
192;Captain_Jack;GLAD;15,421
193;CapBorba;WOLF;15,311
194;owusum;ZELA;15,273
195;eduardo;WOLF;15,271
196;Revolution;CRZY;15,254
197;-Yaruki;CRZY;15,239
198;nhiel17;CRZY;15,179
199;Ratchet;-Z-;15,159
200;EL WACHO;SPlCY;15,154
201;M1AV;CRZY;15,033
202;Cove;-TR-;14,897
203;Aman;-12-;14,856
204;ALASTOR;-RF-;14,781
205;Daedalus-8820;-RF-;14,752
206;Pazi;WOLF;14,708
207;Lazar the Great;-KG-;14,654
208;Edmoreira21;-KG-;14,629
209;Ohaitti;-LAT-;14,459
