Position;Player Name;Alliance;Points
1;AIamet;;2,277,145
2;KULAKSIZ TAVŞAN;;2,252,102
3;zwaya9;;2,058,000
4;Alpha;;1,890,944
5;Legend of Arabs;;1,283,231
6;-FORZA-;CRZY;1,250,325
7;Jason-6243;CRZY;1,232,601
8;Italy Bank;CRZY;853,815
9;orgeneral35;Org;764,336
10;Tierra Santa;LGS1;696,760
11;Givati;LGS1;571,795
12;GENERAL;HKMDR;508,250
13;trans17;HKMDR;385,258
14;Zucko;HKMDR;315,583
15;orfeo;HKMDR;252,837
16;Chaos;-Z-;207,692
17;Kawaki-IX79;-Z-;200,195
18;Dream Factory;TRP;198,478
19;--RiCkY--;TRP;190,015
20;Om Lotfi;R-F;153,826
21;Ragnar Lodbrok;R-F;152,841
22;TheBit;One;148,382
23;BOSHxGAR;One;127,699
24;Hell Dennis;One;114,098
25;ST Grun Katsie;One;109,401
26;EnMovimiento;1234;97,947
27;Surt;-Z-;94,539
28;Merk;-Z-;92,307
29;stay with me;ROHAN;89,552
30;Bartolomeo;IDF;85,695
31;RewenGe;CRZY;85,527
32;OLYMPIAKOS -7-;HΕLL;80,794
33;Aquarius;KaoS;77,387
34;kanenas;HΕLL;77,142
35;Crux;HΕLL;65,776
36;Ciccio;KaoS;63,879
37;Nezhah;KaoS;62,795
38;THOR;WOLF;62,049
39;polemarxos78;HΕLL;61,733
40;GREEK PUNISHER;HΕLL;52,824
41;DAYAKCI;CRZY;49,451
42;Anti;-Z-;48,289
43;brunoB;-Z-;44,910
44;NoName;LIONS;42,340
45;Corleone;-M-;40,604
46;-SuKuNA-;KaoS;40,311
47;Edu;H3LL;39,647
48;3D1H40B3K;RATS;38,727
49;Rudeus;KaoS;38,652
50;Junior;KaoS;38,203
51;ZEUUS;HΕLL;37,786
52;Black Lion;CRZY;37,214
53;Mr Han;ROHAN;36,617
54;Abaddon;ZELA;36,492
55;vllakaa;CRZY;36,256
56;Commander;SOWRD;36,026
57;Magneus Calagar;SOWRD;34,673
58;FakeTaxiDriver;HdB;34,611
59;cybertronloco22;CRZY;33,814
60;Suggit;GoCry;33,080
61;The UGA UGA;-Z-;32,993
62;WWZ;GoCry;32,275
63;LoboBlanco;WOLF;31,790
64;Voda;WOLF;31,101
65;D3Moliti0nZ;WOLF;30,599
66;Dark Knight;WOLF;29,153
67;Mr Wolf;LHS;29,101
68;El Lider;-TMP-;28,970
69;AUGUSTO MAXIMUS;BRA;28,498
70;Don Quetzali;BRA;28,309
71;Bash;RUS;28,250
72;VIRGO;KaoS;28,249
73;Skipper;RUS;28,079
74;StOn3;SPlCY;27,667
75;ecodor;FRA;27,582
76;Micellium;FRA;27,366
77;Troy;ROHAN;26,933
78;Hyla Arborea;-12-;26,612
79;Dear Logistis;-KG-;26,439
80;Destroyer;-Z-;26,127
81;Warlord Xenos;-Z-;25,883
82;Dosadnomi;-Z-;25,707
83;Dervin;WOLF;25,401
84;Zerks;-Z-;25,242
85;Krinof;HΕLL;25,011
86;Illenium;-TMP-;24,854
87;AKSOY;ROHAN;24,815
88;WitcheR;ZELA;24,640
89;CapBorba;WOLF;24,553
90;FREY-;WOLF;24,448
91;-ESTRANEO-;WOLF;23,554
92;abel280;-UNI-;23,060
93;Tardeli;-KG-;22,979
94;_Akıncı_;-KG-;22,946
